Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of Ownership,Industry,Sector,Revenue,Competitors
Supply Chain Analyst,$60k-$184k,Optimize supply chain processes to improve efficiency.,2.8,Media Magic,"Seattle, WA","Washington, DC",501-1000 employees,1953,Government,Graphic Design,Non-Profit,Less than $1 million,None
Network Administrator,$105k-$164k,Maintain and troubleshoot company network issues.,2.1,Supply Chain Co.,"Washington, DC","Seattle, WA",1001-5000 employees,1985,Government,IT Services,"Arts, Entertainment & Recreation",$10 to $25 million,None
Project Manager,$57k-$150k,Oversee project lifecycle from initiation to closure.,1.8,Design Dreams,"Chicago, IL","Boston, MA",201-500 employees,1941,Private,IT Services,Media,More than $50 million,None
Digital Media Manager,$72k-$166k,Manage online content and social media presence.,2.5,Web Wonders,"Austin, TX","Atlanta, GA",1001-5000 employees,2006,Government,Marketing,Real Estate,More than $50 million,None
Software Developer,$105k-$152k,Develop and maintain software applications based on client requirements.,2.8,Market Movers,"Los Angeles, CA","Washington, DC",501-1000 employees,1973,Subsidiary or Business Segment,Software Development,Real Estate,$5 to $10 million,None
Marketing Specialist,$101k-$152k,Create and execute marketing strategies to enhance brand awareness.,4.9,Global Sales Group,"Washington, DC","Seattle, WA",201-500 employees,1911,Subsidiary or Business Segment,Administrative Services,Business Services,$1 to $5 million,None
Digital Media Manager,$125k-$201k,Manage online content and social media presence.,3.1,Media Magic,"Boston, MA","Los Angeles, CA",51-200 employees,1942,Public,Marketing,Non-Profit,More than $50 million,None
Marketing Specialist,$117k-$215k,Create and execute marketing strategies to enhance brand awareness.,1.8,Secure Systems,"Los Angeles, CA","Los Angeles, CA",51-200 employees,1930,Private,Consumer Products,Biotech & Pharmaceuticals,$1 to $5 million,None
Sales Manager,$127k-$169k,Lead sales teams to achieve targets through strategic planning.,4.0,Supply Chain Co.,"San Francisco, CA","Chicago, IL",501-1000 employees,1959,Non-profit Organization,Cybersecurity,Government,$10 to $25 million,None
Supply Chain Analyst,$122k-$232k,Optimize supply chain processes to improve efficiency.,3.5,Plan Pros,"Los Angeles, CA","Los Angeles, CA",51-200 employees,1956,Private,Finance,Media,More than $50 million,None
Data Scientist,$85k-$225k,Analyze large datasets to uncover actionable insights.,1.2,People Partners,"San Francisco, CA","Boston, MA",501-1000 employees,1957,Private,IT Services,Insurance,$5 to $10 million,None
Marketing Specialist,$132k-$161k,Create and execute marketing strategies to enhance brand awareness.,3.5,People Partners,"Denver, CO","Seattle, WA",1001-5000 employees,1970,Private,Finance,Government,More than $50 million,None
Graphic Designer,$91k-$227k,Design visual content for digital and print media.,2.9,Global Sales Group,"New York, NY","Seattle, WA",1-50 employees,2003,Government,Software Development,Business Services,$25 to $50 million,None
Supply Chain Analyst,$72k-$155k,Optimize supply chain processes to improve efficiency.,2.0,Finance First,"Seattle, WA","Atlanta, GA",1001-5000 employees,1978,Public,Networking & Security,Insurance,$5 to $10 million,None
Digital Media Manager,$102k-$249k,Manage online content and social media presence.,2.4,Plan Pros,"New York, NY","Los Angeles, CA",1-50 employees,1942,Private,Human Resources,Real Estate,$5 to $10 million,None
Data Scientist,$142k-$234k,Analyze large datasets to uncover actionable insights.,4.9,Plan Pros,"Chicago, IL","Los Angeles, CA",1-50 employees,1974,Public,Customer Service,Insurance,$5 to $10 million,None
Supply Chain Analyst,$139k-$234k,Optimize supply chain processes to improve efficiency.,2.6,Plan Pros,"San Francisco, CA","Boston, MA",1001-5000 employees,1948,Government,Administrative Services,Retail,More than $50 million,None
Web Developer,$144k-$237k,Build and maintain websites to enhance user experience.,4.6,Market Movers,"Denver, CO","Atlanta, GA",201-500 employees,1902,Government,Research & Development,Retail,$1 to $5 million,None
Network Administrator,$148k-$212k,Maintain and troubleshoot company network issues.,1.8,Global Sales Group,"Chicago, IL","San Francisco, CA",201-500 employees,2008,Private,Human Resources,Non-Profit,More than $50 million,None
Customer Support Representative,$117k-$154k,Handle customer inquiries and resolve issues promptly.,3.6,Support Central,"Washington, DC","Chicago, IL",1001-5000 employees,1948,Public,Consumer Products,Retail,More than $50 million,None
Security Analyst,$129k-$171k,Protect systems against cyber threats and ensure data security.,3.9,Tech Innovate,"Denver, CO","Los Angeles, CA",51-200 employees,1956,Non-profit Organization,Research & Development,Media,$1 to $5 million,None
Human Resources Coordinator,$80k-$189k,"Manage recruitment, training, and employee relations.",4.9,Secure Systems,"Seattle, WA","Austin, TX",201-500 employees,1986,Non-profit Organization,Finance,Media,$5 to $10 million,None
Security Analyst,$98k-$214k,Protect systems against cyber threats and ensure data security.,3.1,Global Sales Group,"Austin, TX","Washington, DC",51-200 employees,2011,Government,IT Services,Media,$5 to $10 million,None
Human Resources Coordinator,$63k-$241k,"Manage recruitment, training, and employee relations.",4.4,Office Organizers,"San Francisco, CA","Boston, MA",1-50 employees,1997,Public,Research & Development,Media,$25 to $50 million,None
Sales Manager,$105k-$161k,Lead sales teams to achieve targets through strategic planning.,4.8,Design Dreams,"Seattle, WA","Los Angeles, CA",1-50 employees,1953,Private,Digital Media,Non-Profit,$5 to $10 million,None
Graphic Designer,$99k-$160k,Design visual content for digital and print media.,2.5,Tech Innovate,"Los Angeles, CA","San Francisco, CA",201-500 employees,2001,Public,Consumer Products,Technology,$5 to $10 million,None
Customer Support Representative,$110k-$239k,Handle customer inquiries and resolve issues promptly.,4.3,Secure Systems,"Seattle, WA","Seattle, WA",1001-5000 employees,1900,Private,IT Services,Biotech & Pharmaceuticals,$1 to $5 million,None
Administrative Assistant,$69k-$220k,Provide administrative support to ensure efficient office operations.,4.8,Plan Pros,"Atlanta, GA","Denver, CO",1-50 employees,1999,Government,Graphic Design,Biotech & Pharmaceuticals,Less than $1 million,None
Software Developer,$80k-$203k,Develop and maintain software applications based on client requirements.,3.6,Plan Pros,"Seattle, WA","San Francisco, CA",1-50 employees,2007,Subsidiary or Business Segment,Management Consulting,Non-Profit,Less than $1 million,None
Supply Chain Analyst,$115k-$223k,Optimize supply chain processes to improve efficiency.,2.0,Global Sales Group,"Boston, MA","Denver, CO",1-50 employees,1978,Government,Graphic Design,Government,$10 to $25 million,None
Sales Manager,$135k-$235k,Lead sales teams to achieve targets through strategic planning.,1.3,Net Solutions,"San Francisco, CA","Atlanta, GA",1001-5000 employees,1964,Non-profit Organization,Human Resources,Technology,$10 to $25 million,None
Administrative Assistant,$110k-$155k,Provide administrative support to ensure efficient office operations.,3.5,Net Solutions,"Boston, MA","New York, NY",201-500 employees,2000,Private,Networking & Security,"Arts, Entertainment & Recreation",More than $50 million,None
Supply Chain Analyst,$130k-$163k,Optimize supply chain processes to improve efficiency.,4.1,Web Wonders,"Los Angeles, CA","Chicago, IL",1-50 employees,1945,Non-profit Organization,Networking & Security,Retail,More than $50 million,None
Financial Analyst,$139k-$211k,Conduct financial analysis and report on budgeting.,3.5,Secure Systems,"Chicago, IL","San Francisco, CA",501-1000 employees,1904,Government,Graphic Design,Technology,$1 to $5 million,None
Customer Support Representative,$55k-$190k,Handle customer inquiries and resolve issues promptly.,4.7,People Partners,"Denver, CO","Atlanta, GA",501-1000 employees,1932,Private,Cybersecurity,"Arts, Entertainment & Recreation",$5 to $10 million,None
Network Administrator,$149k-$156k,Maintain and troubleshoot company network issues.,4.5,Net Solutions,"Boston, MA","San Francisco, CA",201-500 employees,1955,Subsidiary or Business Segment,Software Development,Media,$10 to $25 million,None
Network Administrator,$73k-$213k,Maintain and troubleshoot company network issues.,3.8,Net Solutions,"Atlanta, GA","Boston, MA",1-50 employees,1993,Subsidiary or Business Segment,Marketing,Real Estate,$25 to $50 million,None
Administrative Assistant,$73k-$219k,Provide administrative support to ensure efficient office operations.,2.2,Market Movers,"San Francisco, CA","Los Angeles, CA",201-500 employees,1939,Subsidiary or Business Segment,Management Consulting,Real Estate,$1 to $5 million,None
Web Developer,$106k-$194k,Build and maintain websites to enhance user experience.,2.8,Web Wonders,"Los Angeles, CA","Washington, DC",501-1000 employees,1935,Private,Marketing,Real Estate,$5 to $10 million,None
Human Resources Coordinator,$145k-$236k,"Manage recruitment, training, and employee relations.",1.6,Tech Innovate,"Chicago, IL","Washington, DC",501-1000 employees,1904,Public,Marketing,"Arts, Entertainment & Recreation",More than $50 million,None
Network Administrator,$96k-$199k,Maintain and troubleshoot company network issues.,4.8,Tech Innovate,"Washington, DC","Chicago, IL",501-1000 employees,1947,Government,Finance,Business Services,$25 to $50 million,None
Sales Manager,$117k-$196k,Lead sales teams to achieve targets through strategic planning.,2.6,Supply Chain Co.,"Boston, MA","Austin, TX",1-50 employees,1903,Public,Finance,Non-Profit,$10 to $25 million,None
Customer Support Representative,$121k-$165k,Handle customer inquiries and resolve issues promptly.,2.0,Data Wizards,"Seattle, WA","Austin, TX",1001-5000 employees,1936,Subsidiary or Business Segment,Graphic Design,Business Services,$1 to $5 million,None
Administrative Assistant,$59k-$207k,Provide administrative support to ensure efficient office operations.,1.7,Web Wonders,"Seattle, WA","San Francisco, CA",201-500 employees,1985,Government,Software Development,Business Services,$25 to $50 million,None
Human Resources Coordinator,$87k-$188k,"Manage recruitment, training, and employee relations.",4.4,Web Wonders,"Chicago, IL","Los Angeles, CA",1001-5000 employees,1928,Private,Graphic Design,Retail,$1 to $5 million,None
Security Analyst,$113k-$153k,Protect systems against cyber threats and ensure data security.,2.4,Plan Pros,"Los Angeles, CA","Seattle, WA",1001-5000 employees,1916,Non-profit Organization,Customer Service,Business Services,Less than $1 million,None
Data Scientist,$100k-$241k,Analyze large datasets to uncover actionable insights.,3.9,People Partners,"Denver, CO","Denver, CO",1001-5000 employees,1909,Public,Networking & Security,Business Services,$10 to $25 million,None
Financial Analyst,$137k-$216k,Conduct financial analysis and report on budgeting.,2.4,Support Central,"Atlanta, GA","Washington, DC",51-200 employees,1998,Public,Digital Media,Non-Profit,Less than $1 million,None
Administrative Assistant,$65k-$216k,Provide administrative support to ensure efficient office operations.,1.6,Global Sales Group,"Chicago, IL","Los Angeles, CA",51-200 employees,1944,Non-profit Organization,Customer Service,Biotech & Pharmaceuticals,Less than $1 million,None
Data Scientist,$75k-$231k,Analyze large datasets to uncover actionable insights.,4.8,Data Wizards,"Chicago, IL","Boston, MA",1001-5000 employees,1968,Private,Human Resources,Retail,$25 to $50 million,None
Project Manager,$69k-$171k,Oversee project lifecycle from initiation to closure.,3.6,Web Wonders,"Washington, DC","Los Angeles, CA",1001-5000 employees,1905,Private,Marketing,Technology,More than $50 million,None
Security Analyst,$123k-$183k,Protect systems against cyber threats and ensure data security.,3.6,Secure Systems,"Washington, DC","Denver, CO",1001-5000 employees,1981,Private,Finance,Non-Profit,$5 to $10 million,None
Supply Chain Analyst,$88k-$211k,Optimize supply chain processes to improve efficiency.,2.0,Secure Systems,"Denver, CO","Boston, MA",501-1000 employees,1909,Private,Consumer Products,Media,$10 to $25 million,None
Financial Analyst,$109k-$176k,Conduct financial analysis and report on budgeting.,2.4,Global Sales Group,"Los Angeles, CA","Los Angeles, CA",201-500 employees,1951,Public,Cybersecurity,Insurance,$25 to $50 million,None
Human Resources Coordinator,$63k-$190k,"Manage recruitment, training, and employee relations.",2.0,Market Movers,"Boston, MA","Seattle, WA",51-200 employees,1918,Private,IT Services,Biotech & Pharmaceuticals,$10 to $25 million,None
Administrative Assistant,$128k-$203k,Provide administrative support to ensure efficient office operations.,2.0,Office Organizers,"Chicago, IL","Los Angeles, CA",1001-5000 employees,1992,Government,Graphic Design,Retail,$10 to $25 million,None
Human Resources Coordinator,$109k-$213k,"Manage recruitment, training, and employee relations.",4.5,Finance First,"New York, NY","San Francisco, CA",501-1000 employees,1964,Subsidiary or Business Segment,Graphic Design,"Arts, Entertainment & Recreation",$25 to $50 million,None
Network Administrator,$56k-$156k,Maintain and troubleshoot company network issues.,2.1,Plan Pros,"Seattle, WA","Boston, MA",1001-5000 employees,1901,Private,Digital Media,Retail,$5 to $10 million,None
Web Developer,$96k-$247k,Build and maintain websites to enhance user experience.,2.6,Tech Innovate,"Denver, CO","New York, NY",1001-5000 employees,1971,Public,Networking & Security,Non-Profit,$5 to $10 million,None
Marketing Specialist,$99k-$214k,Create and execute marketing strategies to enhance brand awareness.,2.8,People Partners,"Boston, MA","Washington, DC",1001-5000 employees,1915,Public,Marketing,Real Estate,$5 to $10 million,None
Security Analyst,$93k-$221k,Protect systems against cyber threats and ensure data security.,4.8,Secure Systems,"Chicago, IL","Austin, TX",1001-5000 employees,1965,Subsidiary or Business Segment,Human Resources,Technology,Less than $1 million,None
Software Developer,$67k-$241k,Develop and maintain software applications based on client requirements.,2.3,Finance First,"Atlanta, GA","Seattle, WA",51-200 employees,1977,Non-profit Organization,Consumer Products,Insurance,$25 to $50 million,None
Network Administrator,$70k-$200k,Maintain and troubleshoot company network issues.,5.0,Web Wonders,"Boston, MA","Washington, DC",201-500 employees,1964,Non-profit Organization,Human Resources,Media,More than $50 million,None
Project Manager,$88k-$210k,Oversee project lifecycle from initiation to closure.,4.3,Net Solutions,"Los Angeles, CA","San Francisco, CA",501-1000 employees,1974,Government,Cybersecurity,Technology,$25 to $50 million,None
Financial Analyst,$83k-$233k,Conduct financial analysis and report on budgeting.,4.1,Secure Systems,"Washington, DC","Washington, DC",51-200 employees,1992,Private,Management Consulting,Media,$1 to $5 million,None
Human Resources Coordinator,$130k-$242k,"Manage recruitment, training, and employee relations.",3.5,Office Organizers,"Denver, CO","Chicago, IL",51-200 employees,1904,Non-profit Organization,Software Development,Business Services,$1 to $5 million,None
Software Developer,$106k-$190k,Develop and maintain software applications based on client requirements.,2.7,Media Magic,"Austin, TX","Denver, CO",1001-5000 employees,1999,Non-profit Organization,Customer Service,Media,More than $50 million,None
